"persid";"apellido1";"apellido2";"nombre";"municipio";"fechanac";"horasextra"
"120c35aa3";" MAS";"BAQUERO";"TERESA";"03050";"1974-02-12";2
"121f43438";"ROPERO";"BARBERA";"MARIA LOURDES";"03050";"1974-06-17";406
"1230d01e9";"MILLAN";"BARCELO";"SILVIA VALERIA";"03050";"1974-09-17";919
"12510243f";"MUÑOZ";"BAREA";"JESUS JAVIER";"03050";"1975-08-25";729
"1251f8120";"CONTRERAS";"BARRACHINA";"SALVADOR";"03050";"1975-12-08";679
"127811338";"FONS";"BARRAJON";"TERESA DE JESUS";"03050";"1976-01-09";754
"12ee1f77f";"GUTIERREZ";"BARRERES";"LUIS GABRIEL";"03050";"1976-03-18";454
"12f041ee0";"SABATER";"BARRERO";"JOSE";"03050";"1976-07-05";630
"133c17fe8";"BERNABEU";"BARRIO";"MARCELINO VICENTE";"03050";"1976-09-28";36
"134b72375";"ROSILLO";"BARRIOS";"ROSA MARIA";"03050";"1977-01-20";476
"136b85eed";"RAMIREZ";"BARTUAL";"YOLANDA";"03050";"1977-05-06";124
"136e2ab8b";"NIEVES";"BASCUÑANA";"ENCARNACION";"03050";"1977-10-11";807
"137781bfd";"ESCANDELL";"BAUTISTA";"JOSEP MARIA";"03093";"1978-02-06";477
"138e64b33";"TALAVERA";"BELDA";"JOSEFA T.";"03093";"1979-03-04";982
"1392f02fc";"JOVER";"BELDA";"EVA GLORIA";"03093";"1979-04-02";646
"13bc08dae";"LOPEZ";"BELDA";"JOSE FRANCISCO";"03093";"1979-07-09";192
"13e9fb989";"MORENO";"BELENDEZ";"MIGUEL";"03093";"1980-07-07";389
"13f4528e4";"SANCHEZ";"BELENDEZ";"MARIA NIEVES";"03093";"1980-08-02";63
"1422aeaec";"ZAPLANA";"BELLIDO";"MARIA AMPARO";"03093";"1981-01-31";727
"144ed4764";"PEREZ";"BELLIDO";"MARIA ROSA";"03093";"1981-07-12";56
"1473c7120";"GUILLEN";"BELLON";"PEDRO";"03093";"1982-12-29";177
"147a8a61d";"MURCIA";"BELLOT";"ISABEL";"03093";"1983-02-14";653
"148930680";"CONTRERAS";"BELLOT";"BEATRIZ";"03093";"1983-03-19";659
"148a8de35";"PEREZ";"BELLVER";"MARIO";"03093";"1983-07-02";235
"149dba04c";"CAMARERO";"BELMONTE";"BEGOÑA";"03093";"1983-07-21";594
"14a2c8277";"GIMENEZ";"BELMONTE";"PEDRO JOSE";"03093";"1983-12-03";48
"14ad8a355";"LOPEZ";"BELOTTO";"GEMA";"03093";"1984-06-04";268
"14bb47cb7";"LON";"BELTRAN";"MARIA LUISA";"03093";"1984-07-02";886
"14f74ec6a";"MORENO";"BENADERO";"MARIA TERESA";"03093";"1984-12-27";378
"1519d1a35";"CAMPOS";"BENAVENTE";"JUAN JOSE";"03093";"1985-01-23";271
"151a7ce74";"TORREGROSA";"BENAVIDEZ";"ESTEFANÍA";"03093";"1985-03-05";292
"151cb63a1";"CASTAÑO";"BENEITO";"JAVIER";"03093";"1985-03-07";297
"153305363";"ROY";"BENEYTO";"FRANCISCO J.";"03093";"1986-03-31";0
"153591811";"CRUAÑES";"BENITO";"ANTONIO";"03093";"1986-07-08";971
"153f886ff";"SEGURA";"BENITO";"LUIS";"03093";"1986-08-14";50
"15422230e";"SALOM";"BENITO";"JOSE LUIS";"03093";"1986-08-21";454
"154d455ef";".";"BERALUS";"UGO FRANCO MARIA";"03093";"1986-09-01";600
"155ac4219";"RAMOS";"BERENGUER";"CARMELO";"03032";"1986-11-22";87
"155e62e51";"CHAMIZO";"BERENGUER";"JUAN MANUEL";"03132";"1986-11-30";931
"156dc45b2";"MORA";"BERENGUER";"JUAN CARLOS";"03043";"1988-04-10";725
"1577bad6d";"PINHEIRO";"BERENGUER";"MARIA DEL CARMEN";"46219";"1988-04-21";894
"157b2513f";"NUEVO";"BERENGUER";"ESTER";"46090";"1988-11-22";407
"1589610e5";"MARTIN";"BERLANGA";"JOAQUIN";"03059";"1989-01-02";665
"159bb5e65";"FERRANDEZ";"BERNA";"PEDRO ANTONIO";"03052";"1989-04-20";876
"159f0ac01";"FERRER";"BERNABE";"JOSE RAMON";"03072";"1989-05-20";53
"15a280692";"ARIAS";"BERNABEU";"MARIA FERNANDA";"03124";"1989-08-19";857
"15b8e47d3";"PORTILLO";"BERNABEU";"ESTHER";"03021";"1989-08-25";265
"15e71699c";"GULLON";"BERNABEU";"ENRIQUE";"46219";"1989-10-02";117
"15f2d04f8";"SEGOVIA";"BERNABEU";"MARIA ISABEL";"46210";"1989-10-30";433
"161f516fe";"NAVARRO";"BERNABEU";"EMILIO J.";"03076";"1989-11-26";992
"163edde53";"RAMETA";"BERNAL";"ROSA MARIA";"03028";"1990-01-03";173
"167f5f917";"AREVALO";"BERNAL";"MARIA";"46004";"1990-04-30";610
"168ad74b4";"GUTIERREZ";"BERNAT";"GUILLERMO";"03054";"1990-12-25";645
"169e1d1c3";"CABRERA";"BERTOLIN";"MARIA TERESA";"03007";"1964-06-26";833
"16aef4964";"ROVIRA";"BERTRAN";"MARIA TERESA";"03105";"1964-08-05";845
"16c7bb651";"DENIZ";"BEVIA";"RAFAEL";"03021";"1964-11-30";238
"171d0a5a3";"ESTEBAN";"BLANCO";"ROSA MARIA";"03068";"1965-09-09";882
"17262dd30";"GANDIA";"BLANES";"MARIA ANTONIA";"03057";"1967-06-06";113
"172b8c484";"GUTIERREZ";"BLANES";"EVA";"03140";"1967-07-19";124
"1757ba26b";"ORTUÑO";"BLASCO";"MARIA TERESA";"03140";"1968-02-24";384
"175d2ad0e";"CARDONA";"BLASCO";"JOSEFA";"03140";"1968-05-17";416
"1778f389d";"ROYO";"BLASCO";"CARMEN";"03140";"1968-05-18";556
"1783c754b";"SISCAR";"BLASCO";"CRISTINA MARIA";"03140";"1968-08-05";384
"17bde7ac5";"GIL";"BLASCO";"JOSE MARIA";"03140";"1968-09-02";387
"17edac9d8";"MORENO";"BLASCO";"JOSÉ MIGUEL";"03140";"1968-11-14";607
"17fbfe45c";"MARTINEZ";"BLASCO";"ANTONIO";"03140";"1968-12-21";839
"181e8a9b2";"MARTINEZ";"BLAYA";"JOSE FRANCISCO";"03140";"1969-07-16";987
"1850d30bd";"ATIENZAR";"BLAZQUEZ";"GABRIEL";"03140";"1969-10-30";694
"186712824";"FALCO";"BLEDA";"FANTINA";"46003";"1969-12-09";769
"18690fa77";"ASENSIO";"BODELON";"JOAN IGNASI";"03021";"1970-01-02";712
"18afad6fa";"ARAGONES";"BOIX";"FRANCISCO PEDRO";"03130";"1970-03-09";587
"18b6468ea";"CREMADES";"BOJ";"FERNANDO";"03038";"1971-03-16";176
"191357e1f";"GUIJARRO";"BOLDRINI";"ANTONIA";"03140";"1971-05-02";376
"195e3d757";"ALEMAÑ";"BOLUDA";"OCTAVIO";"03140";"1971-06-15";462
"197040bee";"NAVARRO";"BONET";"ALBERTO";"03140";"1972-03-15";230
"19ba41d56";"PARRA";"BONETE";"MARIA SUSANA";"03140";"1972-03-22";232
"19dcdef03";"GONZALEZ";"BONILLA";"VERONICA";"03140";"1972-04-05";728
"19f191afd";"PALOMINO";"BONMATI";"MANUEL";"03140";"1972-04-11";348
"1a1d16985";"MIRA";"BORDEHORE";"JAVIER";"03140";"1972-12-13";665
"1a330cb1f";"CABAÑERO";"BORJA";"IRENE MARIA";"03140";"1972-12-31";719
"1a3dafad3";"SÁNCHEZ";"BORJA";"LAURA";"03140";"1973-01-11";522
"1a41a88d1";"GARCIA";"BORREGO";"JOSEFA";"03140";"1973-06-09";275
"1a7861600";"GOSALVEZ";"BORSI";"CARLOS";"46138";"1973-07-29";363
"1ae9a8645";".";"BOTANA";"STEPHAN";"46180";"1974-07-31";354
"1b146c704";"BOLEA";"BOTELLA";"JUAN ANTONIO";"03115";"1974-08-25";120
"1b16eeea2";"ALVAREZ";"BOTELLA";"ARCADIO";"46128";"1974-09-02";602
"1b2821ee3";"LILLO";"BOTELLA";"GERARDO JOSE";"30010";"1974-09-16";235
"1b5135d44";"TABASCO";"BOTELLA";"CAROLINA";"46020";"1975-02-28";233
"1b69aef70";"TORREGROSA";"BRAVO";"IGNACIO";"46037";"1975-10-05";726
"1b77a6592";"GARCIA";"BREA";"SOFIA";"46175";"1975-12-05";495
"1b7d276f5";"MATEOS";"BROCAL";"CRISTINA";"46180";"1976-01-31";618
"1b80904a5";"AGULLO";"BROCAL";"ALICIA";"46222";"1976-03-26";142
"1b9511589";"PASTOR";"BROTONS";"SANTIAGO ANDRES";"46243";"1976-09-10";50
"1bb0c9bce";"GONZALEZ";"BROTONS";"MARIA DEL  CARMEN";"46154";"1976-10-24";2
"1c0264778";"GALIANA";"BROTONS";"MARIA DE LOS DOLORES";"03138";"1976-12-17";529
"1c0b4fb6f";"MARTINEZ";"BROTONS";"JOSE MANUEL";"30010";"1977-03-14";658
"1c0f51a49";"CAPON";"BROTONS";"RAMIRO JOSE";"46020";"1978-06-03";842
"1c2c0a06a";"CISNEROS";"BROTONS";"PASTOR MAXIMINO";"30901";"1978-11-03";516
"1c8e55572";".";"BROTONS";"ESTER";"46040";"1978-12-04";351
"1cc08467a";"GUZMAN";"BRU";"NOEMI";"46037";"1978-12-17";611
"1cd8885d7";"LLAGUNO";"BRU";"ICIAR";"46203";"1979-02-24";227
"1d00841b9";"HERNANDEZ";"BUENO";"VICENTE";"03040";"1979-04-11";938
"1d55f805b";"PLANELLES";"BUENO";"ISABEL";"46255";"1979-08-02";788
"1d6192424";"ORTELLS";"BUITRAGO";"JOSE MIGUEL";"03097";"1980-03-07";603
"1d66479cd";"MIRALLES";"BUSQUIER";"VICENTE JOSE";"46168";"1980-11-14";17
"1da448073";"CIFUENTES";"BUSQUIER";"CARLOS";"30020";"1980-11-29";836
"1db06e921";"HIDALGO";"BUSTOS";"ANA ROSA";"46160";"1981-03-14";128
"1db14c390";"ESPINOSA";"BUTLER";"SUSANA AMALIA";"03081";"1981-04-29";366
"1ddba1a40";"LILLO";"BUYOLO";"JORGE ALBERTO";"46053";"1982-02-09";501
"1ddca25d9";"ESTEPA";"CABALLERO";"EVA MARIA";"46130";"1982-10-14";847
"1dde572a0";"GALLARDO";"CABALLERO";"ANA ISABEL";"03025";"1982-10-16";888
"1dfc20ac2";"FERRER";"CABALLERO";"ABILIO";"46231";"1982-12-10";776
"1dfd6c365";"PASCUAL";"CABANELL";"MARIA DOLORES";"30011";"1984-04-19";242
"1e3fc79f1";"CUTILLAS";"CABAÑERO";"ENCARNACION";"46238";"1984-06-18";896
"1ea241116";"MORRIS";"CABAÑERO";"VIRJINIA";"46197";"1984-09-05";812
"1ea54eed0";"LOPEZ";"CACERES";"RAFAELA";"30025";"1984-11-20";478
"1f23ba018";"LLORCA";"CALABUIG";"LUIS VICENTE";"46071";"1985-04-21";129
"1f2daff0d";"GARCIA";"CALATAYUD";"CRISTINA";"30040";"1985-06-06";538
"1f5c96555";"MONLLOR";"CALATAYUD";"ENCARNACIÓN";"30011";"1985-08-23";973
"1f69ce71c";"RUIZ";"CALDERON";"FRANCISCO";"46008";"1986-05-06";748
"1f7f64f5a";"LENTISCO";"CALLEJO";"JESUS I.";"03042";"1986-12-07";680
"1f82a91bc";"SASTRE";"CALVO";"ROSA ANA";"30009";"1987-01-04";23
"1fa37ae30";"LOPEZ";"CALVO";"MARIA ANGELES";"46008";"1987-04-28";750
"1fc1f57a0";"PACIOS";"CALVO";"ANDRES JESUS";"30018";"1987-10-08";208
"200863873";"CARDONA";"CALVO";"EVA";"46026";"1987-11-09";681
"2025da9de";"CAVIEDES";"CALVO";"ALICIA";"46167";"1988-07-26";592
"2037f1716";"BLAZQUEZ";"CALVO";"DAVID";"30019";"1988-11-17";724
"2047865ec";"SANCHEZ";"CALZADO";"JUAN MANUEL";"46194";"1989-02-20";31
"20b97ae38";"MARROQUI";"CAMACHO";"PEDRO";"30021";"1989-04-21";202
"20bdec8d3";"SAENZ DE URTURI";"CAMARA";"EVA MARIA";"30021";"1989-05-23";952
"20be2eda6";"MATEU";"CAMARA";"MARIA LUISA";"02074";"1989-08-26";970
"20c32a842";"PALAO";"CAMPAÑA";"INMACULADA CONCEPCION";"46077";"1989-10-05";990
"20e1f49c3";"GUILLO";"CAMPAÑA";"ANDRES";"46164";"1989-11-18";554
"20f1fd424";"PEREZ";"CAMPO BAGATIN";"PEDRO VICENTE";"46171";"1979-10-23";6
"210656e6e";"BENITO";"CAMPOS";"JOSE R.";"46126";"1979-11-21";390
"212afa49a";"SELVA";"CAMPOS";"CLOTILDE";"46022";"1980-12-21";498
"213a17b43";"SOBRINO";"CAMUÑAS";"GEMA";"02002";"1981-01-28";373
"214471463";"HERNANDEZ";"CANALES";"MARIA SALUD";"46166";"1981-04-08";891
"21478a9e9";"FUENTES";"CANALES";"SONIA";"02066";"1981-08-30";345
"214991e42";"CALERA";"CANALS";"OSCAR DAVID";"46005";"1982-02-24";260
"21655a902";"CALABUIG";"CANDALIJA";"JOSEP ANTONI";"30017";"1982-03-18";667
"2194d6370";"CASANOVA";"CANDELA";"VIRGINIA";"30017";"1982-07-16";556
"21c932583";"LARREA";"CANDELA";"MARIA TERESA";"46254";"1982-09-15";502
"2211dfb31";"CERDA";"CANDELA";"BERNABE";"46134";"1983-04-30";563
"221dd9a49";"PALACI";"CANDELA";"MIGUEL";"46182";"1983-08-28";367
"222c34581";"NAVARRO";"CANDELA";"PALOMA";"46058";"1983-12-13";981
"224ad0acb";"ROMERO DEL HOMBRE BUENO";"CANDELAS";"MARIA ANGELES";"46079";"1983-12-16";693
"2286e67b3";"DE LA VEGA";"CANO";"MARIA LUZ";"46258";"1984-11-10";905
"2346949c8";"SANZ";"CANO";"JULIANA MARGARITA";"30024";"1985-01-14";953
"238dbd80d";"FERRER";"CANO";"JUAN ANTONIO";"30024";"1985-03-23";440
"23ba31f0d";"JOVER";"CANO";"JUAN CARLOS";"02044";"1985-07-25";585
"23c8be0aa";"BARRIOS";"CANOVAS";"NANCY JOHANA";"03090";"1985-10-17";976
"23c90a450";"FERNANDEZ";"CANTO";"OSCAR ANTONIO";"03122";"1985-10-19";190
"24089ec24";"TORRIJOS";"CANTOS";"JOSE LUIS";"03122";"1985-11-01";793
"240bf4a23";"GALVAN";"CANTOS";"CAYETANO";"03122";"1985-12-27";657
"240e337d5";"MARTINEZ";"CANTOS";"ANDRES";"03122";"1986-10-05";782
"2426425f5";"ROMAN";"CAÑAVATE";"NATALIA";"03122";"1986-12-04";517
"2454b3501";"SANCHEZ";"CAÑAVATE";"MIGUEL";"03122";"1987-07-09";689
"24926e9f2";"BOTELLA";"CAÑAVERAS";"JOSEFA";"03122";"1987-07-26";984
"24944e7ff";"SOLER";"CAÑAVERAS";"MARIA DEL CARMEN";"03122";"1987-12-13";468
